E0814 23:05:03.217291  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:05:20.248274  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:05:20.248315  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:05:25.161249  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
E0814 23:05:25.161283  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.EdgePlacement: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
W0814 23:05:29.474509  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
E0814 23:05:29.474553  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SinglePlacementSlice: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
W0814 23:05:52.969719  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:05:52.969763  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:05:53.025455  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:05:53.025483  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:06:17.735395  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
E0814 23:06:17.735439  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SinglePlacementSlice: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
W0814 23:06:20.605661  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
E0814 23:06:20.605693  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.EdgePlacement: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
W0814 23:06:28.460538  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:06:28.460586  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:06:36.203055  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:06:36.203156  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:07:06.250282  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
E0814 23:07:06.250507  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.EdgePlacement: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
W0814 23:07:06.280089  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
E0814 23:07:06.280130  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SinglePlacementSlice: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
W0814 23:07:21.001697  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:07:21.001735  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:07:22.705616  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.Location: the server could not find the requested resource
E0814 23:07:22.705647  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.Location: failed to list *v1alpha1.Location: the server could not find the requested resource
W0814 23:07:48.525961  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
E0814 23:07:48.526001  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.EdgePlacement: failed to list *v1alpha1.EdgePlacement: the server could not find the requested resource
W0814 23:07:55.535511  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
E0814 23:07:55.535560  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SyncTarget: failed to list *v1alpha1.SyncTarget: the server could not find the requested resource
W0814 23:07:58.033289  490050 reflector.go:376] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
E0814 23:07:58.033319  490050 reflector.go:138] k8s.io/client-go@v0.0.0-20230210192259-aaa28aa88b2d/tools/cache/reflector.go:215: Failed to watch *v1alpha1.SinglePlacementSlice: failed to list *v1alpha1.SinglePlacementSlice: the server could not find the requested resource
